"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group1",75193.908736816
"Cell2","Cell2","Batch1","Group1",69133.5609654114
"Cell3","Cell3","Batch1","Group2",56047.3111419501
"Cell4","Cell4","Batch1","Group1",56146.362991289
"Cell5","Cell5","Batch1","Group2",62125.6647623869
"Cell6","Cell6","Batch1","Group1",51593.5978381751
"Cell7","Cell7","Batch1","Group1",62457.8938697324
"Cell8","Cell8","Batch1","Group2",72932.0132997544
"Cell9","Cell9","Batch1","Group2",64229.388154942
"Cell10","Cell10","Batch1","Group2",61080.4028971364
"Cell11","Cell11","Batch1","Group1",77761.8276393403
"Cell12","Cell12","Batch1","Group2",51703.1472499172
"Cell13","Cell13","Batch1","Group1",48896.7152698166
"Cell14","Cell14","Batch1","Group1",68445.6697233644
"Cell15","Cell15","Batch1","Group1",81745.3326288882
"Cell16","Cell16","Batch1","Group2",64404.9779289933
"Cell17","Cell17","Batch1","Group1",50563.7968638346
"Cell18","Cell18","Batch1","Group1",109223.755470997
"Cell19","Cell19","Batch1","Group2",61213.8082084326
"Cell20","Cell20","Batch1","Group1",53885.0862127443
"Cell21","Cell21","Batch1","Group2",77469.4599582849
"Cell22","Cell22","Batch1","Group2",44583.2087586712
"Cell23","Cell23","Batch1","Group1",74210.1536439248
"Cell24","Cell24","Batch1","Group1",64150.2056892786
"Cell25","Cell25","Batch1","Group2",55075.4566300662
"Cell26","Cell26","Batch1","Group2",62143.2818389485
"Cell27","Cell27","Batch1","Group1",70218.0643127622
"Cell28","Cell28","Batch1","Group1",61826.3960212138
"Cell29","Cell29","Batch1","Group1",49053.2276776363
"Cell30","Cell30","Batch1","Group2",58054.6948324375
"Cell31","Cell31","Batch1","Group1",56428.8829763876
"Cell32","Cell32","Batch1","Group1",41385.9210798654
"Cell33","Cell33","Batch1","Group1",53510.4875083592
"Cell34","Cell34","Batch1","Group1",57429.5540071997
"Cell35","Cell35","Batch1","Group2",53785.4577742636
"Cell36","Cell36","Batch1","Group2",65203.7634786876
"Cell37","Cell37","Batch1","Group2",93759.2858216275
"Cell38","Cell38","Batch1","Group1",84180.7970696957
"Cell39","Cell39","Batch1","Group1",59616.9279184159
"Cell40","Cell40","Batch1","Group2",49406.295665404
"Cell41","Cell41","Batch1","Group2",72410.5989779985
"Cell42","Cell42","Batch1","Group2",45553.3418040401
"Cell43","Cell43","Batch1","Group2",57753.6307561171
"Cell44","Cell44","Batch1","Group2",58145.5892474164
"Cell45","Cell45","Batch1","Group1",77213.4657266766
"Cell46","Cell46","Batch1","Group2",39783.3812451387
"Cell47","Cell47","Batch1","Group2",51082.0055908259
"Cell48","Cell48","Batch1","Group2",50518.01138453
"Cell49","Cell49","Batch1","Group1",76972.2672191752
"Cell50","Cell50","Batch1","Group2",61380.7728151803
"Cell51","Cell51","Batch1","Group2",62588.6053707047
"Cell52","Cell52","Batch1","Group1",55530.1845680355
"Cell53","Cell53","Batch1","Group2",74004.5940906227
"Cell54","Cell54","Batch1","Group1",55975.553714792
"Cell55","Cell55","Batch1","Group2",80693.3150061235
"Cell56","Cell56","Batch1","Group1",63086.7407202788
"Cell57","Cell57","Batch1","Group2",48604.3833125345
"Cell58","Cell58","Batch1","Group2",60127.1926677672
"Cell59","Cell59","Batch1","Group1",44233.330736832
"Cell60","Cell60","Batch1","Group2",45359.9549414345
"Cell61","Cell61","Batch1","Group1",55178.3953568667
"Cell62","Cell62","Batch1","Group2",47871.072081372
"Cell63","Cell63","Batch1","Group2",44613.9278029963
"Cell64","Cell64","Batch1","Group2",57000.88709573
"Cell65","Cell65","Batch1","Group1",61056.7952207111
"Cell66","Cell66","Batch1","Group1",45001.5356807068
"Cell67","Cell67","Batch1","Group2",58343.5052281235
